"","지역","건축.연도","평당가격"
"554","송파구",1993,4631.69047619048
"555","양천구",1993,4358.45588235294
"556","용산구",1993,2925.31914893617
"557","은평구",1993,3927.01886792453
"558","종로구",1993,2812.72
"559","중구",1993,2921.7
"560","중랑구",1993,3622.91780821918
"561","강남구",1994,3298.61363636364
"562","강동구",1994,2923.26315789474
"563","강북구",1994,3404.94594594595
"564","강서구",1994,3433.12244897959
"565","관악구",1994,3290.07317073171
"566","광진구",1994,3914.7
"567","구로구",1994,3386.58333333333
"568","금천구",1994,3074.48648648649
"569","노원구",1994,3688.32098765432
"570","도봉구",1994,3533.54411764706
"571","동대문구",1994,3736.44210526316
"572","동작구",1994,3397.55
"573","마포구",1994,3128.875
"574","서대문구",1994,3330.42105263158
"575","서초구",1994,4036.8125
"576","성동구",1994,3521.55813953488
"577","성북구",1994,3581.1975308642
"578","송파구",1994,3360.51515151515
"579","양천구",1994,3652.07843137255
"580","용산구",1994,3077.46666666667
"581","은평구",1994,3521.07843137255
"582","종로구",1994,3155.3023255814
"583","중구",1994,3153.22222222222
"584","중랑구",1994,3744.81927710843
"585","강남구",1995,2656.94594594595
"586","강동구",1995,2793.8
"587","강북구",1995,3231.56
"588","강서구",1995,3167.63265306122
"589","관악구",1995,2738.65384615385
"590","광진구",1995,3992.30357142857
"591","구로구",1995,3011.13043478261
"592","금천구",1995,2894.85416666667
"593","노원구",1995,3209.6875
"594","도봉구",1995,3067.5671641791
"595","동대문구",1995,3466.42696629213
"596","동작구",1995,3399.54166666667
"597","마포구",1995,2993.59677419355
"598","서대문구",1995,3137.03333333333
"599","서초구",1995,2958.67567567568
"600","성동구",1995,3830.58260869565
"601","성북구",1995,3454.11650485437
"602","송파구",1995,2644.25
"603","양천구",1995,3269.50819672131
"604","용산구",1995,3190.68055555556
"605","은평구",1995,3229.828125
"606","종로구",1995,3136.76271186441
"607","중구",1995,3103.30487804878
"608","중랑구",1995,3381.09174311927
"609","강남구",1996,2919.05263157895
"610","강동구",1996,2574.17391304348
"611","강북구",1996,3080.5871559633
"612","강서구",1996,2937.70491803279
"613","관악구",1996,3171
"614","광진구",1996,2859.47872340426
"615","구로구",1996,2651.97619047619
"616","금천구",1996,3059.68888888889
"617","노원구",1996,2920.24444444444
"618","도봉구",1996,3234.94791666667
"619","동대문구",1996,3057.81052631579
"620","동작구",1996,2441.73913043478
"621","마포구",1996,2980.95744680851
"622","서대문구",1996,3085.16666666667
"623","서초구",1996,2096.41666666667
"624","성동구",1996,3230.81707317073
"625","성북구",1996,3223.56435643564
"626","송파구",1996,3019.68181818182
"627","양천구",1996,3182.84482758621
"628","용산구",1996,3282.61052631579
"629","은평구",1996,3033.32
"630","종로구",1996,3518.09259259259
"631","중구",1996,3859.01538461538
"632","중랑구",1996,3269.01801801802
"633","강남구",1997,3790.80357142857
"634","강동구",1997,3459.04
"635","강북구",1997,4024.36448598131
"636","강서구",1997,3634.06315789474
"637","관악구",1997,3701.83050847458
"638","광진구",1997,3678.15294117647
"639","구로구",1997,4053.45161290323
"640","금천구",1997,4093.73529411765
"641","노원구",1997,3835.77358490566
"642","도봉구",1997,3938.73684210526
"643","동대문구",1997,3422.6261682243
"644","동작구",1997,3937.22641509434
"645","마포구",1997,3544.20212765957
"646","서대문구",1997,3583.8431372549
"647","서초구",1997,3548.49019607843
"648","성동구",1997,3513.02666666667
"649","성북구",1997,3523.0350877193
"650","송파구",1997,3598.5
"651","양천구",1997,3609.78947368421
"652","용산구",1997,3640.90217391304
"653","은평구",1997,3804.93693693694
"654","종로구",1997,4001.79787234043
"655","중구",1997,4203.51648351648
"656","중랑구",1997,3658.65040650406
"657","강남구",1998,2834.8085106383
"658","강동구",1998,2778.55102040816
"659","강북구",1998,3718.75438596491
"660","강서구",1998,3239.01428571429
"661","관악구",1998,3213.27777777778
"662","광진구",1998,3598.30994152047
"663","구로구",1998,3234.87037037037
"664","금천구",1998,3612.35526315789
"665","노원구",1998,3326.58333333333
"666","도봉구",1998,3239.75
"667","동대문구",1998,3418.11267605634
"668","동작구",1998,2934.0487804878
"669","마포구",1998,3542.76543209877
"670","서대문구",1998,3022.21111111111
"671","서초구",1998,3336.33333333333
"672","성동구",1998,3529.37804878049
"673","성북구",1998,3739.81553398058
"674","송파구",1998,2646.65384615385
"675","양천구",1998,3428.38805970149
"676","용산구",1998,3211.4375
"677","은평구",1998,3043.0625
"678","종로구",1998,2981.89947089947
"679","중구",1998,3298.06315789474
"680","중랑구",1998,3441.2213740458
"681","강남구",1999,3086.4776119403
"682","강동구",1999,2825.83333333333
"683","강북구",1999,3505.62162162162
"684","강서구",1999,3205.07766990291
"685","관악구",1999,3334.56896551724
"686","광진구",1999,4059.49253731343
"687","구로구",1999,3244.73958333333
"688","금천구",1999,3313.7
"689","노원구",1999,3437.32167832168
"690","도봉구",1999,3737.88666666667
"691","동대문구",1999,3818.75974025974
"692","동작구",1999,3390.4776119403
"693","마포구",1999,3377.13793103448
"694","서대문구",1999,3372.66666666667
"695","서초구",1999,3496.11764705882
"696","성동구",1999,4053.99516908213
"697","성북구",1999,3724.72988505747
"698","송파구",1999,3164.08695652174
"699","양천구",1999,3458.05217391304
"700","용산구",1999,4082.71830985915
"701","은평구",1999,3335.66206896552
"702","종로구",1999,3932.49673202614
"703","중구",1999,4090.60891089109
