"","aptnm","지번주소","위도","경도"
"152","대림아크로빌"," 도곡동 467-6","37.4881205925146","127.051077656021"
"153","서울맨션"," 홍제동 315-7","37.5868206157666","126.943653839042"
"154","갑을"," 풍납동 214-6","37.5351465385321","127.112570039664"
"155","동보프리미아"," 망원동 463-2","37.5598167536259","126.89656563455"
"156","삼성월드타워"," 삼성동 3-1","37.5174334774237","127.044098015964"
"157","삼성"," 신당동 843","37.5581689025054","127.017895622274"
"158","자양우성7"," 자양동 783-1","37.5363526161092","127.074596726286"
"159","우방아파트"," 공릉동 108","37.6266499248028","127.087314103707"
"160","우성아파트1"," 방학동 507","37.6580383072687","127.023857206994"
"161","레이크팰리스"," 잠실동 44","37.5092678396302","127.094277269984"
"162","길음뉴타운9단지(래미안)"," 길음동 1286","37.6037838061852","127.019452698782"
"163","산업인"," 고척동 57-9","37.5047349109946","126.866978558925"
"164","신대림아파트"," 공릉동 379-9","37.6262904899433","127.072013544892"
"165","유원"," 홍은동 22","37.5975065241554","126.944721080693"
"166","대우","금호동4가 800","37.5459699809305","127.01982172766"
"167","한가람"," 이촌동 404","37.5215850190543","126.970286646638"
"168","경향렉스빌"," 응암동 96-18","37.6007392357361","126.926045324157"
"169","신동아파밀리에"," 석관동 408","37.6075298393944","127.053568300335"
"170","독산주공14단지"," 독산동 1088","37.4600847128236","126.886483831561"
"171","금호삼성래미안","금호동1가 1500","37.549177317639","127.027637334732"
"172","현대"," 옥수동 4","37.5436917758825","127.018895964412"
"173","서광등촌마을2"," 등촌동 638","37.5578771499458","126.857444510012"
"174","벽산블루밍"," 신림동 1733","37.4638903779024","126.931178515716"
"175","네스빌(728-10)"," 역삼동 728-10","37.4981928667019","127.040086589728"
"176","올림픽선수기자촌2단지"," 방이동 89","37.5175616546675","127.136371627591"
"177","래미안세레니티"," 종암동 133","37.5992448373509","127.031050089448"
"178","신반포16"," 잠원동 55-12","37.5168904458979","127.00959872159"
"179","관악드림(삼성)"," 봉천동 1712","37.489767905811","126.950619822698"
"180","마곡13단지힐스테이트마스터"," 마곡동 748","37.5577909438278","126.818287770104"
"181","낙성대현대(296)"," 봉천동 296","37.4750056302753","126.959465111276"
"182","대림e편한세상"," 등촌동 561-1","37.5421371866212","126.862627931358"
"183","삼선푸르지오","삼선동2가 425","37.5834928738163","127.013382220928"
"184","LIG 대학마을(건영아파트3차)"," 신림동 1703-1","37.4668458417824","126.942587158553"
"185","성원"," 쌍문동 53","37.6584134290763","127.02890230168"
"186","래미안상도3차"," 상도동 431","37.4993523923787","126.954733217786"
"187","벽산아파트1"," 방학동 275","37.6604565423523","127.032527356121"
"188","신동아아파트1"," 방학동 271-1","37.6609347988243","127.0267260331"
"189","코오롱"," 석관동 405","37.606282766343","127.065717692893"
"190","마곡수명산파크4단지"," 내발산동 753","37.5512348671569","126.823351155728"
"191","보람아파트"," 신월동 457-6","37.5266195993424","126.847207965527"
"192","한일유앤아이"," 구로동 1281","37.4864737258532","126.876052971485"
"193","여의도자이"," 여의도동 47","37.5181723412698","126.926053586291"
"194","래미안상도3차"," 상도동 431","37.4993523923787","126.954733217786"
"195","대련"," 가락동 166-15","37.4969196486752","127.133049758146"
"196","신내"," 묵동 13","37.6164130659246","127.08487405604"
"197","전농SK"," 전농동 10","37.5766421261107","127.060465846616"
"198","방배3차현대홈타운"," 방배동 2233","37.4914815401111","126.983722711076"
"199","신동아"," 수서동 736","37.4870725721397","127.098442914101"
