"ÀÏ·Ã¹øÈ£","±¸ºÐÄÚµå","Áö¿ªÄÚµå","¾ð¾î","ÀÌ¸§","ÁÖ¼Ò","È¨ÆäÀÌÁö","ÀÌ¹ÌÁö¸í","ÀÌ¹ÌÁö°æ·Î","À§µµ","°æµµ","»ç¿ë¿©ºÎ"
"402","M002","H001","KOR","¾Æ¸®¶ûÇÏ¿ì½º","¼­¿ïÆ¯º°½Ã Á¾·Î±¸ °èµ¿ 101-6¹øÁö","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=307","SPM_1523511390477.jpg","/home/data/shp/place/","37.579546","126.986217","N"
"93","M002","H001","ENG","Myeonggajae","3-4 Bukchon-ro 9-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=598&pcate=2&smarket[0]=&smarket[1]=&sword=Myeonggajae&pn=1","SPM_1485848862297.jpg","/home/data/shp/place/","37.5810789","126.9845757","Y"
"104","M002","H005","ENG","Bibimbap Guest House","21-10 Supyo-ro 28-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=522&pcate=2&smarket[0]=&smarket[1]=&sword=Bibimbap%20Guest%20House&pn=1","SPM_1485850189220.jpg","/home/data/shp/place/","37.5732771","126.9898574","Y"
"89","M002","H002","ENG","Seochon Guesthouse","28-3 Jahamun-ro 7-gil","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=627&pcate=2&smarket[0]=&smarket[1]=&sword=Seochon%20Guesthouse&pn=1","SPM_1485848357643.jpg","/home/data/shp/place/","37.5790608","126.97065629999997","Y"
"141","M006","H001","ENG","Woori Bitkkal Workshop","14 Bukchon-ro 11ga-gil Jongno-gu","","SPM_1485924103002.jpg","/home/data/shp/place/","37.582245","126.984039","Y"
"58","M006","H001","KOR","ÀüÅëÈ¥·Êº¸","Á¾·Î±¸ °èµ¿6±æ 13","/front/kor/exp/expPlaceView.do?spmSeq=123&searchGubun=P300","SPM_1484641495793.jpg","/home/data/shp/place/","37.5827435","126.98713229999998","Y"
"379","M002","H002","CHN","â©Guesthouse","ù°éöÓÞÖØ5ÖØ 13-4","http://stay.visitseoul.net/ck/02_room_view.html?fmuid=671&pcate=2&smarket[0]=22&pn=1","SPM_1520388615031.jpg","/home/data/shp/place/","37.5799177","126.96797600000002","Y"
"415","M002","H001","ENG","Bamboo Guesthouse","17-21 Gyedong 2-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=303","SPM_1523517182029.jpg","/home/data/shp/place/","37.580410","126.987825","Y"
"189","M002","H001","CHN","Ê©çÝúÍ","ñ£ÖØÏ¡ Ê©üåÔ× 16-1","https://www.facebook.com/gayeheonbest","SPM_1486102042021.jpg","/home/data/shp/place/","37.5829451","126.9844927","N"
"11","M002","H001","KOR","ÈÞ°Ô½ºÆ®ÇÏ¿ì½º","Á¾·Î±¸ ºÏÃÌ·Î 7±æ 3-6","http://stay.visitseoul.net/ko/sub_view.html?fmuid=599&pcate=2&smarket[0]=22&sword=&pn=1","SPM_1483617708369.jpg","/home/data/shp/place/","37.5800691","126.9845034","N"
"12","M002","H001","KOR","¸í°¡Àç","Á¾·Î±¸ ºÏÃÌ·Î9±æ 3-4","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=598&pcate=2&smarket[0]=&smarket[1]=&sword=%EB%AA%85%EA%B0%80%EC%9E%AC&pn=1","SPM_1483617802531.jpg","/home/data/shp/place/","37.5810789","126.9845757","N"
"14","M002","H001","KOR","ºÏÃÌ2 °Ô½ºÆ®ÇÏ¿ì½º","Á¾·Î±¸ ºÏÃÌ·Î 20-17","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=593&pcate=2&smarket[0]=&smarket[1]=&sword=%EB%B6%81%EC%B4%8C2%20%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%9","SPM_1483617989403.jpg","/home/data/shp/place/","37.5786179","126.985696","N"
"17","M002","H001","KOR","ÀÎ¿ìÇÏ¿ì½º","Á¾·Î±¸ °èµ¿ 6±æ 9","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=590&pcate=2&smarket[0]=&smarket[1]=&sword=%EC%9D%B8%EC%9A%B0%ED%95%98%EC%9A%B0%EC%8A%A4&pn=1","SPM_1483618145154.jpg","/home/data/shp/place/","37.5826144","126.98710460000007","N"
"18","M002","H001","KOR","´ã¼ÒÁ¤ °Ô½ºÆ®ÇÏ¿ì½º","Á¾·Î±¸ ºÏÃÌ·Î9±æ 16-2","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=589&pcate=2&smarket[0]=&smarket[1]=&sword=%EB%8B%B4%EC%86%8C%EC%A0%95%20%EA%B2%8C%EC%8A%A4%ED%8A","SPM_1483618210518.jpg","/home/data/shp/place/","37.5813002","126.98432709999997","N"
